Gene ID	Leaf	Leaf	Leaf	Fruit	Fruit	Fruit	Root	Root	Root	Peel	Peel	Peel	Seed	Seed	Seed	Germinating Seed	Germinating Seed	Germinating Seed	Darkness	Darkness	Darkness	Drought	Drought	Drought	Heat	Heat	Heat	Cold	Cold	Cold
gene126.1	2.71	1.93	0.56	2.21	1.32	2.22	0.62	0.18	0.89	4.5	1.34	2.64	0.26	2.02	2.03	2.42	3.16	2.65	0.73	0.68	1.08	0.75	0.3	0.32	1.83	2.34	2.65	0	1.01	1.74
gene127.1	3.99	6.19	1.55	3.14	0.94	1.85	2.78	0.18	4.85	2.3	9.46	4.27	5	3.57	3.09	2.52	4.92	3.47	4.17	2.63	3.68	6.02	4.24	5.95	4.68	5.49	5.43	1.59	4.26	2.11
gene128.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0
gene129.1	110.22	67.29	73.78	44.5	34.23	52.08	76.83	1.72	91.75	54.42	72.89	171.82	48.24	199.84	189.41	69.34	57.3	66.28	91.47	69.85	46.54	58.72	76.66	65.26	26.59	25	26.04	71.6	35.7	55.89
gene130.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene131.1	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene133.1	12.98	4.9	12.65	23.12	16.08	13.2	5.47	1.18	6.24	0.69	1.56	0	0.95	0.09	0.42	3.42	0	1.33	0.31	0.1	0	3.14	2.37	1.73	1.01	1.17	0.14	22.07	12.37	12.11
gene134.1	0	0	0.14	0.7	0	0.49	0	0	0	0.14	0	0	0	0.09	0	0.1	0	0.1	0.42	0.49	0.54	1	0.39	0.11	0.64	0	0.14	0	0.51	0
gene135.1	9.13	9.8	5.06	1.16	6.77	5.31	1.75	0.36	7.32	3.06	4.45	10.47	12.86	9.07	8.34	2.01	10.03	3.98	4.69	4.29	5.95	3.51	1.09	5.52	7.79	5.72	4.74	3.31	0.41	10.83
gene136.1	28.23	31.71	32.89	18.36	31.69	40.6	29.91	104.81	46.02	35.66	32.83	49	60.58	42.61	42.36	38.34	57.95	34.06	17.83	14.24	16.13	28.23	16.38	22.19	45.02	46.26	25.07	14.71	17.85	16.43
gene137.1	2.85	3.48	7.03	0	0	0.62	0	0.27	1.09	0.69	3.56	0.61	6.64	0.55	1.26	0.2	1.21	2.04	1.36	1.07	0.32	2.76	1.09	0.11	1.74	3.97	0.42	0.12	3.85	0.64
gene138.1	20.53	17.92	29.37	14.87	24.26	25.79	26.61	13.11	35.43	23.77	30.6	24.6	9.66	15.03	12.69	18.92	20.99	32.73	17.94	14.83	13.85	23.84	19.14	21.21	26.86	38.43	18.94	30.04	27.18	15.14
gene139.1	0.14	1.29	0.42	0	0	0.12	0	0	0	2.44	0	0.31	0	0.09	0	0.1	0	0	1.77	3.02	1.95	0.13	0.1	0	0.92	0	0.56	0.12	1.83	0
gene140.1	3.71	0.52	5.9	47.05	0.38	0.99	19.8	1.54	29	12.71	2.34	0.41	3.8	3.76	10.03	72.46	75.31	76.07	15.12	10.05	28.79	19.57	22.3	9.63	56.94	103.27	81.34	19.62	66.54	122.24
gene141.1	86.69	89.08	91.49	151.03	107.57	64.17	229.67	311.99	345.52	252.75	82.8	291.49	281.48	372	394.94	554.19	1331.15	708.07	254.58	272.86	385.21	306.8	372.66	436.02	365.65	449.63	394.28	477.9	1127.49	953.81
gene142.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene143.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene144.1	269.05	384.16	167.38	68.54	125.72	119.08	192.86	303.85	243.08	86.78	284	275.83	325.75	508.34	457.36	60.68	80.14	85.25	48.7	72	48.06	51.7	54.46	49.24	45.2	43.46	37.05	40.83	46.45	47.26
gene145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.09	0	0	0	0	0
gene146.1	18.96	15.08	25.86	32.53	12.98	25.54	30.63	21.97	27.42	25.66	14.91	8.85	7.08	9.25	10.59	35.62	30.74	27.84	45.37	35.8	21.65	44.55	41.64	36.9	21	18.34	18.66	20.23	12.37	24.5
gene147.1	0	0	0	0	3.29	0	0	0.09	0	0	0	0	0	0	0	1.01	0.19	1.12	0	0	0.11	0	0	0	0	0	0	0	0	0
gene148.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.23	0.42	0	0	0
gene149.1	5.42	2.45	10.4	6.27	5.83	16.41	10.52	11.58	5.84	8.62	2.56	4.27	2.5	3.12	5.33	7.35	7.71	9.08	7.4	7.22	7.58	6.78	9.27	9.2	8.53	8.41	7.52	12.38	3.04	4.04
gene150.1	3.14	2.71	1.12	3.72	2.63	5.68	0.83	10.04	2.77	0.52	3.9	1.93	18.12	2.02	1.47	3.52	1.58	1.94	4.28	1.85	1.41	6.9	1.18	2.92	5.87	7.83	5.01	5.15	6.09	8.08
gene151.1	1	1.55	3.51	2.67	0.47	1.6	2.99	0	5.15	3.02	2.11	0.41	0.43	0.73	0.91	1.41	0.84	1.12	0.31	0.29	0.22	0.38	0.39	0.43	0.37	0.23	0	0.25	1.01	0.28
gene152.1	64.16	41.12	40.48	18.12	16.83	14.07	16.5	16.64	27.42	48.23	18.47	77.17	9.41	44.71	60.17	34.92	50.33	31.2	9.28	9.37	3.46	7.15	5.43	6.06	10.45	7.83	5.01	7.23	6.9	3.67
gene153.1	0	1.93	2.53	0.23	3.86	0	0	0	0.69	1.51	0	2.95	3.11	2.47	3.23	1.41	0.84	1.12	1.56	0.39	0.54	0.88	1.38	0.22	0.83	0	0	4.29	6.29	1.84
gene154.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene155.1	0	0	0	0	0	1.36	0.31	0	5.84	0	0	0.1	0	0.27	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.64
gene156.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene157.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
gene158.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene159.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0
gene162.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0
gene163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0
gene164.1	27.52	47.31	32.89	24.98	37.8	37.51	37.23	115.75	45.73	21.09	59.54	44.33	68.43	50.85	39.41	27.07	57.39	42.72	86.88	70.24	85.4	83.44	76.66	108.44	107.92	84.23	98.74	97.96	80.94	111.87
gene165.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene166.1	0.86	0.13	0	0	0	0	0	0	0.1	0.31	0	0.51	0.09	0.64	0.28	1.61	0.74	0.82	0	0	0	0	0.1	0	0.18	0.23	0.7	0.12	0	0
gene167.1	0.43	0.39	0	0.12	0	0.86	0	2.35	0.3	0.27	0	0.1	0.26	0.09	0	0.5	0.56	1.02	0	0	0	0	0	0	0	0	0	0	0	0
gene168.1	2	0	0.14	0	0	0	0	0.09	0	3.02	0	0.41	0	0.18	0.07	0	0.19	0.51	0	0	0	0	0.1	0.22	0	0	0.28	0	0	0
gene169.1	5.42	2.96	5.2	12.66	2.26	4.69	4.23	0	11.18	16.28	1.11	4.07	10.61	8.98	11.78	11.17	26.47	27.02	3.02	1.46	0.97	2.13	1.68	3.25	4.68	2.1	3.34	0.86	0.41	0.46
gene170.1	2.42	17.15	19.68	22.42	19.65	17.03	11.55	0.18	19	11.37	15.02	9.35	2.07	2.29	2.31	7.85	7.62	2.55	11.37	9.37	7.58	5.9	4.83	4.33	4.31	2.69	1.67	3.8	1.83	2.11
gene171.1	27.66	27.2	24.74	23.12	22.1	15.8	14.34	58.42	25.44	19.89	34.61	16.17	23.73	30.88	23.42	27.47	33.34	29.77	37.96	31.71	29.22	36.89	37.89	29.11	51.53	32.36	38.44	44.26	24.85	31.57
gene172.1	13.97	5.41	13.49	14.75	6.96	16.91	22.17	13.47	23.85	18.31	12.46	6.71	12.94	5.96	4.14	16.3	18.76	21.41	3.86	1.27	1.62	4.52	0.89	1.41	4.22	2.92	4.6	4.41	2.13	1.47
gene173.1	11.26	9.28	12.23	16.73	3.76	7.16	19.49	19.62	3.07	2.51	4.34	2.34	0.35	0	0.14	0.4	0.19	0.2	0	0.68	1.62	0	0	0	0	0.12	0	4.17	0.41	1.1
gene174.1	1.28	0.9	0	4.18	0.66	0.37	0	0	4.75	0.14	0	0.1	0	0.09	0	0	0.37	0	0	0.1	0	0	0.1	0	0.18	0.47	0.14	0	0.2	0
gene175.1	7.56	10.96	6.18	16.26	12.98	11.35	2.06	1.63	13.66	10.03	10.35	8.54	20.88	3.3	4.84	13.49	7.52	8.57	6.88	5.46	4.55	7.53	3.95	3.03	4.03	5.14	3.76	6.01	3.35	0.92
gene176.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene178.1	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene179.1	0.29	0	0	0	0.19	0	0	0	0.1	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0.14	0	0	0
gene180.1	1.57	0.77	1.12	0.12	3.1	0.25	5.67	0	1.19	0.82	0	0.31	2.07	0.18	0.7	0.5	0.56	0.51	0	0.78	0	0.13	0	0	0.28	0.58	0	0.37	0	0.28
gene181.1	102.52	52.08	54.67	67.38	42.97	65.16	88.49	59.68	78.58	62.63	50.08	57.85	47.55	54.06	58.2	57.46	44.76	53.02	22.74	12.97	10.07	25.1	18.06	20.24	29.89	20.79	25.9	14.1	8.11	10.65
gene182.1	7.27	6.19	8.29	6.97	6.11	10	17.12	9.86	19.1	8.97	2.56	2.95	6.04	2.57	3.02	15.8	15.42	7.85	6.47	2.93	6.71	4.39	2.17	2.49	12.1	7.48	7.24	9.69	7.51	5.41
gene183.1	0	0	0	0	0	0	0	0.09	0	0	0	0	0.69	0	0	0	0.09	0.1	0.21	0.1	0	0	0	0	0	0	0	0	0.3	0.28
gene184.1	51.61	54.27	46.1	31.95	52.09	39.36	44.24	37.08	73.64	17.59	30.71	31.62	7.51	10.45	12.34	51.22	41.6	49.86	74.88	54.53	83.56	48.81	18.15	34.63	32	36.45	51.25	19.98	18.66	21.93
gene185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0
gene186.1	0	0.26	0.7	0.23	1.03	0.62	0.83	5.88	0.4	1.44	0.11	0.1	0.43	0.09	0.42	0.4	0.93	0.31	0	0.59	0	0.75	0.1	0	0.55	0.12	0.7	0.12	0	0
gene187.1	4.28	13.28	11.66	5.81	4.51	20.36	9.28	7.23	14.94	10.17	7.57	2.85	4.92	3.12	2.81	10.37	4.74	12.64	5.32	4.59	4.22	11.29	3.95	6.82	7.43	7.59	6.41	9.81	13.19	7.07
gene188.1	14.83	10.44	9.42	3.02	5.17	15.43	6.5	14.83	7.62	6.73	7.12	3.86	29.94	5.41	5.33	5.94	4.92	6.53	3.13	1.17	3.03	3.51	1.18	2.16	4.03	1.4	0.84	11.16	2.23	6.42
gene189.1	23.95	19.47	20.8	16.03	15.98	12.46	2.37	13.56	25.34	34.25	14.47	22.67	74.55	21.26	22.16	37.13	30.92	49.05	5.74	6.54	5.09	5.9	4.34	5.63	10.36	12.5	11.56	4.05	6.49	5.32
gene190.1	11.12	18.05	3.51	15.57	81.71	26.16	10.11	149.75	17.32	8.86	9.79	15.96	1.12	23.27	18.09	19.42	41.42	20.29	25.34	9.37	14.4	17.57	11.84	12.77	163.76	76.75	153.34	91.09	38.24	43.59
gene191.1	559.49	924.82	546.14	1408.65	2382.67	1347.66	1246.24	2467.68	936.58	560.95	1731.83	841.52	1963.62	952.63	923.55	1466.45	2125.62	1343.53	3848	3870.47	4104.33	3511.04	3406.67	2563.52	3081.09	3217.42	4342.38	7058.8	7882.67	11004.15
gene192.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene193.1	0	0.52	0	0	0.38	0	0	0	0.1	0.21	0	0.31	0	0.27	0.14	0	0.28	0.71	0.21	0.78	0.43	0.38	0.2	0.11	0.18	0.12	0.28	0	0	0.09
gene194.1	7.56	4.38	7.73	27.65	4.42	4.94	3.51	0.45	8.21	11.37	12.24	6.41	2.07	2.29	3.79	9.06	2.41	4.08	0.31	0.68	0	1.25	0.2	0.11	1.1	0.47	0.42	0.74	0.91	0.83
gene195.1	27.95	101.07	23.89	5.81	55.29	26.65	27.64	66.56	26.52	28.41	58.31	61	48.75	49.2	47.33	22.34	38.54	38.44	149.56	164.67	214.85	141.79	95.81	111.79	64.37	43.92	55.85	88.03	72.72	146.75
gene196.1	0.29	3.22	0.28	0	6.21	0.62	0.62	0.09	0.4	0.48	5.23	0.1	0.26	0.64	0.49	0.4	1.67	1.33	2.5	2.63	4.11	4.02	3.75	3.14	1.38	0.58	2.79	3.07	2.33	8.72
gene197.1	7.56	27.2	7.59	6.85	12.32	7.03	13.2	6.96	10.29	9.65	14.02	12.4	17.26	7.88	11.22	20.03	21.08	8.16	4.38	4.29	5.74	6.02	2.86	5.95	9.63	4.79	3.76	7.97	3.55	2.29
gene198.1	40.92	13.79	21.22	7.44	6.86	22.58	10.62	38.16	15.93	23.4	26.6	8.44	19.33	9.07	9.4	22.64	10.31	33.04	8.34	10.44	3.03	10.29	6.91	7.14	10.36	10.05	10.45	8.95	8.72	5.69
gene199.1	53.9	62.01	32.89	28.7	53.41	78.36	42.39	47.75	44.93	31.4	23.37	27.15	150.49	48.2	33.8	41.76	42.44	43.23	106.27	84.58	77.61	135.02	92.35	110.06	82.89	73.95	76.88	209.65	66.44	146.29
gene200.1	39.92	26.68	14.76	12.43	17.68	23.94	29.6	19.89	31.28	23.95	24.04	19.11	5.7	25.2	23	16.4	18.02	24.47	20.55	16.1	10.17	13.8	11.84	14.29	18.06	20.79	16.85	14.71	7.4	9.36
gene201.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.3	0	0	0	0	0.37	4.56	0
gene202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0.49	1.83	0
gene203.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.3	0	0	0	0	0	0.51	0
gene204.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0.79	0	0	0	0	0.25	1.72	0
gene205.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0.79	0	0	0	0	0.25	1.72	0
gene206.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene207.1	6.56	7.86	7.17	5.34	6.68	16.78	6.19	41.33	11.28	3.61	11.8	4.47	7.42	3.76	5.26	7.55	5.94	7.75	7.61	5.46	4.87	7.78	6.71	11.04	9.9	7.48	8.5	13.85	10.04	9.91
gene208.1	11.55	19.47	9.28	8.25	14.95	11.6	10	10.22	8.51	24.91	46.41	34.67	46.51	8.06	12.06	3.42	2.23	3.67	3.55	1.27	4	3.39	1.58	1.84	3.48	1.87	4.6	3.56	2.84	4.13
gene209.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene210.1	0.14	3.48	0.42	0.46	1.22	0.62	0.52	0.09	0.79	0.76	2.56	0.61	3.54	0.73	0.56	0.3	0.37	0	0	0.29	0.87	0.38	0.49	0.32	0	0.12	0.28	0.61	0.41	0.46
gene211.1	20.53	29.78	10.96	6.74	9.4	5.55	16.6	0.27	12.07	12.99	18.81	27.55	18.81	21.99	22.23	2.62	6.5	4.28	9.18	9.95	13.85	13.18	6.51	8.44	7.06	6.54	6.55	4.66	2.54	4.41
gene212.1	210.17	112.02	140.68	66.34	25.95	29.49	58.17	56.16	40.28	147.07	73	138.17	24.25	56.53	76.44	65.41	48.85	46.29	79.37	66.04	31.93	46.3	69.56	44.15	29.07	39.72	33.15	23.17	31.44	13.03
gene213.1	22.53	16.37	13.35	9.64	7.43	11.72	28.05	8.68	15.64	15.22	7.12	10.37	10.53	9.25	8.49	10.26	7.89	6.02	4.07	2.73	3.46	3.76	3.06	2.71	4.13	2.34	2.65	4.66	2.43	1.19
gene214.1	4.28	11.09	7.59	4.3	7.52	14.19	6.6	2.89	9.9	7.35	4.12	6	4.23	4.95	3.44	5.53	5.39	8.57	1.36	3.02	2.6	0.38	1.09	0.97	0.73	1.05	1.11	3.8	0	0.55
gene215.1	28.37	15.86	13.35	18.24	7.99	12.59	15.06	24.96	11.18	16.01	7.9	7.83	0.95	7.06	6.17	12.98	15.79	5.71	6.36	4.49	6.28	7.78	3.95	8.55	12.47	5.14	10.03	17.78	10.14	7.25
gene216.1	21.24	12.25	29.65	34.74	23.32	22.71	32.59	16.64	22.86	44.08	8.35	8.44	12.94	14.75	11.08	26.77	16.07	17.33	17.83	12.68	9.96	29.61	12.83	18.07	26.31	19.39	17.27	36.29	16.33	13.31
gene217.1	2.42	0.77	1.41	1.86	1.41	1.48	1.34	0	3.27	1.82	1.11	0.81	0	1.01	0.49	3.62	2.14	2.55	1.98	3.32	3.25	4.52	2.86	4	5.04	2.45	7.66	5.76	3.04	5.97
gene218.1	0	0.13	0.98	0.12	0.28	0.12	0	0.09	5.05	0.21	0.11	0.1	0.17	1.37	1.4	3.72	9.01	0.61	60.39	71.12	81.61	93.98	59.59	104.11	134.05	169.04	175.76	140.13	109.75	196.12
gene219.1	3.85	1.68	8.43	4.18	1.32	0.86	2.78	0.9	3.17	3.44	2.56	1.63	0.78	0.82	1.19	2.92	4.18	1.53	0.63	0.39	0.76	1.76	0.99	0.54	1.65	1.05	1.25	0.74	0.61	0.83
gene220.1	8.84	6.7	7.45	11.15	14.29	5.43	5.57	2.17	6.73	9.21	15.8	6.2	34.17	2.66	7.43	35.42	30	19.07	0.83	0.29	1.19	0.25	0.2	0.22	14.3	13.55	9.61	0.61	0.91	0.37
gene221.1	0.29	1.16	1.26	28.35	19.18	14.07	8.97	13.2	24.64	17.07	11.91	14.84	17	76.42	101.82	154.27	174.5	146.32	2.29	1.56	1.08	2.89	1.48	0.97	24.94	26.05	12.53	6.62	2.94	3.95
gene222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0
gene223.1	31.94	86.89	43.71	9.41	26.61	13.33	14.54	97.67	23.75	49.92	162.7	277.96	167.49	101.61	142.49	91.58	168.37	118.79	6.47	10.54	9.96	1.63	0.69	0.76	3.21	6.31	4.74	0.37	0	0.18
gene224.1	11.98	12.89	12.79	5.11	12.98	7.16	6.7	16.55	15.24	7.42	17.36	9.86	6.04	4.58	5.33	10.06	11.89	4.69	7.51	8.1	6.6	11.29	6.61	9.52	17.6	16.59	15.18	8.83	8.11	9.54
gene225.1	0	1.16	0	0.58	0.85	0.49	0.21	0.63	0.1	0.1	0.22	0	1.29	0	0	0.2	0.28	0.51	0	0	0.11	0.38	0.2	0.32	0.55	0	0.14	0.25	0.1	0.55
gene226.1	6.42	4	2.25	10.46	7.99	7.28	7.22	3.98	8.71	2.89	3.34	2.44	3.11	0.82	1.4	3.02	2.97	3.36	4.17	1.95	1.52	5.27	3.75	5.74	4.31	2.92	5.29	5.39	2.94	3.3
gene227.1	3.56	1.8	7.45	2.9	0	3.46	0.41	0	0.1	7.08	4.45	4.27	0.17	0.18	0.21	0.5	0	0.1	0.21	0.2	0	0.13	0	0	0	0	0	0	0	0
gene228.1	0.14	0.13	0	0	0.09	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09
gene229.1	0.14	0	0	0	0	0.12	0	0.18	0	0	0.33	0	0	0	0.07	0.2	0	0	0.21	0.39	0.11	0.75	0	0	0	0.12	0.14	0.12	0.1	0.37
gene230.1	0.57	0	0	0	0	0	0.1	0.36	0	0.03	0.11	0	0.35	0	0	0.1	0.19	0	0	0.1	0.11	0	0.1	0	0	0	0.28	0.12	0.3	0.09
gene231.1	1.57	0	0	0	0	0	0.1	0.27	0	0.03	0.11	0.1	0.35	0	0.07	0.1	0	0	0.73	0.1	2.49	0.5	0.3	0.65	1.01	0	2.92	1.1	0.3	1.01
gene232.1	1.28	0	0	0	0.19	0	0.1	0	0	0.03	0.11	0.92	0.35	0.55	0.21	0.1	0	0	1.98	0.39	3.14	0.5	0.39	0.97	1.38	0.23	3.2	2.21	0.3	1.19
gene233.1	142.87	278.19	152.49	237.82	154.02	96.75	136.55	80.85	122.73	119.97	127.31	191.44	155.49	391.52	343.89	185.57	45.13	66.69	699.29	230.03	1151.96	470.92	66.21	264.92	253.52	36.33	93.03	268.62	121.72	187.59
gene234.1	15.11	0.39	0	0.35	5.92	0.37	0.93	0.36	0.3	0.89	3.12	17.39	0.95	15.85	33.38	0.81	3.71	1.43	96.99	33.27	62.99	114.56	14.01	38.74	16.96	2.1	16.57	35.31	4.36	21.93
gene235.1	1.85	2.84	1.83	1.98	2.73	5.06	1.03	4.07	1.39	0.79	5.01	0	7.68	0.27	0.21	2.31	1.39	1.63	0.21	0.2	0.22	0.25	0.39	0.43	0.46	0.47	1.11	0.37	0.1	0.18
gene236.1	1.71	2.96	1.83	2.09	2.73	5.06	1.24	3.8	1.48	0.72	5.01	0.1	1.55	0.46	0.21	2.31	1.39	1.63	0.21	0.2	0.32	0.25	0.3	0.32	0.46	0	0.7	0.49	0	0.09
gene237.1	0.29	0.13	0	0.12	0.09	0	0.21	0	0.2	0.03	0	0.1	0.17	0.18	0	0	0	0	0.1	0.1	0.11	0	0	0	0	0	0.28	0.12	0.41	0
gene238.1	3.14	0	0.42	0	0.56	0.62	0	0.09	0.1	0.58	0	1.93	0.35	5.22	4.63	0.1	0.28	0.1	2.92	0.49	1.08	3.01	0.2	0.54	1.19	0.47	0.28	3.19	0	1.1
gene239.1	8.41	0	0.42	0.23	4.7	5.31	1.55	0.36	0.3	1.79	0	12.2	1.21	39.77	24.05	0.1	1.39	0.1	17.63	2.15	8.55	10.79	1.09	3.79	5.04	0.47	2.23	8.95	0	6.88
gene240.1	0	0	0	0	0	0	0.1	0	0	0.21	0.11	0.1	0.6	0	0	0	0	0	0.1	0	0.43	0	0.39	0	0	0.23	0	0.12	0.41	0.09
gene241.1	0	0.13	0	0	0.09	0.12	0	0.45	0.1	0	0.56	0.1	0.78	0.18	0.14	0	0	0	0.21	0.39	0.43	0	0.1	0.11	0.28	0	0.14	0.12	0	0.18
gene242.1	0	0.13	0	0	0.09	0	0	0.18	0.1	0	0.45	0	0.35	0	0.07	0	0	0	0.94	1.76	1.19	0.25	0.99	0.11	0.09	0.47	0	0.12	0.1	5.51
gene243.1	0	0	0	0.12	0	0	0	0.09	0	0.07	0.11	0.1	0.09	0	0.21	0.2	0	0	0.63	0.39	0.32	0	0	0	0	0	0	0.98	0.1	0.09
gene244.1	0	0	0.14	0	0	0	0	0.45	0	0	0	0	0.09	0	0.14	0	0	0	0.31	0.2	0.54	0	0	0	0	0	0	0.98	0.1	0
gene245.1	0.14	0	0	0	0.47	0	0.1	0.54	0	0	0	0	0.17	0	0.21	0	0	0	1.15	0.68	1.41	0.88	0.3	0.54	1.1	0.23	0.42	1.23	0	0.37
gene246.1	0.14	0	0	0	0.47	0	0.21	0.27	0	0	0	0	0.17	0	0.21	0	0	0	1.04	0.68	1.41	0.75	0.3	0.54	1.1	0.23	0.42	1.23	0	0.37
gene247.1	0	0	0	0	0.19	0	0.21	0	0	0	0.11	0	0.6	0	0.21	0	0	0.51	1.25	0.59	1.84	0.75	0.39	0.54	1.19	0.23	0.42	1.23	0.51	0.37
gene248.1	0.29	0	0	0	0	0	0	0	0	0.07	0.11	0	0	0.09	0.07	0	0	0.41	2.19	0.98	1.3	0.88	0	0.65	0.18	0	0.28	0.37	0.3	0
gene249.1	0.57	0.13	0	0.12	0.47	0.49	0	0.45	0.1	0.03	0.45	0.1	0.26	0.27	0.42	0.5	0.19	0.2	0.21	0.68	1.62	0.5	0	1.52	0.55	0.12	0.7	0.37	0.2	0.18
gene250.1	14.97	5.16	14.34	27.77	12.13	21.97	13.1	6.6	12.37	20.13	5.68	53.07	30.81	51.31	73.91	28.78	11.98	21.31	38.17	14.63	73.17	68.51	11.25	69.48	40.89	17.29	67.27	50.39	18.56	44.88
gene251.1	0.43	0	0.7	1.28	0.09	0.37	0.21	0.09	0.2	0.69	0.22	3.25	0.35	3.3	5.89	1.81	0.19	0.71	42.86	16.78	45.03	24.47	14.41	14.72	4.4	4.79	1.11	21.95	8.01	18.63
gene252.1	0.29	0	0	0	0.09	0	0.1	0.27	0	0	0	0	0	0.09	0	0	0	0	0.31	0	0	0.13	0.1	0.11	0	0	0	0	0	0.18
gene253.1	0.14	0	0	0	0	0	0	0.09	0.1	0	0.11	0.2	0	0.09	0.07	0	0	0.1	0.83	0.59	1.52	1.38	0.89	0.97	0.28	0.12	0	1.72	0.81	0.46
gene254.1	0.14	0	0	0	0.28	0	0.21	0.45	0	0	0	0.31	0.26	0.27	0.56	0.2	0	0	0.73	0.2	0.22	0.88	0	0.11	0	0	0	0.49	0	0.46
gene255.1	0.29	0	0	0	0.09	0.25	0	0.18	0	0.07	0.22	0.1	0	0.18	0.21	0	0.19	0	0	0.1	0.43	0.38	0	0.22	0.09	0.12	0.28	0.61	0	0.09
gene256.1	0	0.13	0	0	0	0	0.1	0.18	0	0	0.11	0	0.17	0	0	0	0	0	0.1	0.2	0.11	0.25	0.1	0	0.09	0	0.42	0	0	0.09
gene257.1	0.57	0.13	0.14	0	0.66	0.49	0.41	0.27	0.2	0.52	0.45	1.22	0.52	5.59	3.86	0.6	0.74	0.92	4.59	0.88	1.62	3.64	0.59	2.16	2.38	0.58	2.65	1.59	0	1.65
gene258.1	0.57	0.13	0.14	0	0.66	0.49	0.41	0.27	0.49	0.52	0.45	1.22	0.6	6.05	4.7	0.6	0.84	0.92	6.67	0.98	1.62	4.02	1.78	2.16	2.66	0.82	2.79	1.59	0	3.21
